分组序	键位	字根	举例
6	W	``	段 **wdmc** `※※※` / 缎 **xwdc** `※※※` / 锻 **qwdc** `※※※`
7	W	``	父 **wqu** `※※` / 办 **lwi** `※※` / 只 **kwu** `※※`
1	Q	``	荒 **aynq** `※※※` / 流 **iycq** `※※※` / 琉 **gycq** `※※※`
2	Q	``	义 **yqi** `※※` / 父 **wqu** `※※` / 艾 **aqu** `※※`
3	Q	``	区 **aqi** `※※` / 冈 **mqi** `※※` / 凶 **qbk** `※※`
4	Q	``	史 **kqi** `※※` / 吏 **gkqi** `※※※` / 更 **gjqi** `※※※`
5	Q	``	金 **qqqq** `※※※` / 鉴 **jtyq** `※※※` / 淦 **iqg** `※※`
6	Q	``	针 **qfh** `※※` / 钉 **qsh** `※※` / 钓 **qqyy** `※※※`
7	Q	``	釓 **qnn** `※※` / 釔 **qnn** `※※` / 釕 **qbh** `※※`
8	Q	``	勺 **qyi** `※※` / 勿 **qre** `※※` / 匀 **qud** `※※`
9	Q	``	饥 **qnmn** `※※※` / 危 **qdbb** `※※※` / 负 **qmu** `※※`
10	Q	``	夕 **qtny** `※※※` / 歹 **gqi** `※※` / 外 **qhy** `※※`
11	Q	``	儿 **qtn** `※※` / 元 **fqb** `※※` / 匹 **aqv** `※※`
12	Q	``	氏 **qav** `※※` / 低 **wqay** `※※※` / 纸 **xqan** `※※※`
13	Q	``	久 **qyi** `※※` / 玖 **gqyy** `※※※` / 灸 **qyou** `※※※`
14	Q	``	无 **fqv** `※※` / 见 **mqb** `※※` / 观 **cmqn** `※※※`
15	Q	``	然 **qdou** `※※※` / 燃 **oqdo** `※※※` / 炙 **qou** `※※`
16	Q	``	傲 **wgqt** `※※※` / 赘 **gqtm** `※※※` / 熬 **gqto** `※※※`
17	Q	``	鱼 **qgf** `※※` / 渔 **iqgg** `※※※` / 鲁 **qgjf** `※※※`
18	Q	``	欠 **qwu** `※※` / 尔 **qiu** `※※` / 次 **uqwy** `※※※`
19	Q	``	犯 **qtbn** `※※※` / 狂 **qtgg** `※※※` / 犹 **qtdn** `※※※`
20	Q	``	乐 **qii** `※※` / 烁 **oqiy** `※※※` / 砾 **dqiy** `※※※`
21	Q	``	印 **qgbh** `※※※` / 卯 **qtbh** `※※※` / 仰 **wqbh** `※※※`
22	Q	``	伊 **wvtt** `※※※` / 争 **qvhj** `※※※` / 君 **vtkd** `※※※`
