分组序	键位	字根	举例
11	L	``	曾 **uljf** `※※※` / 僧 **wulj** `※※※` / 增 **fulj** `※※※`
12	L	``	僂 **wlvg** `※※※`
13	L	``	力 **ltn** `※※` / 历 **dlv** `※※` / 为 **ylyi** `※※※`
1	M	``	山 **mmmm** `※※※` / 击 **fmk** `※※` / 仙 **wmh** `※※`
2	M	``	由 **mhng** `※※※` / 邮 **mbh** `※※` / 抽 **rmg** `※※`
3	M	``	贝 **mhny** `※※※` / 页 **dmu** `※※` / 贞 **hmu** `※※`
4	M	``	貝 **mhny** `※※※` / 則 **mjh** `※※` / 貞 **hmu** `※※`
5	M	``	巾 **mhk** `※※` / 冈 **mqi** `※※` / 内 **mwi** `※※`
6	M	``	丹 **myd** `※※` / 周 **mfkd** `※※※` / 调 **ymfk** `※※※`
7	M	``	身 **tmdt** `※※※` / 射 **tmdf** `※※※` / 躬 **tmdx** `※※※`
8	M	``	骨 **mef** `※※` / 猾 **qtme** `※※※` / 滑 **imeg** `※※※`
9	M	``	见 **mqb** `※※` / 央 **mdi** `※※` / 曲 **mad** `※※`
10	M	``	册 **mmgd** `※※※` / 删 **mmgj** `※※※` / 彤 **myet** `※※※`
11	M	``	凹 **mmgd** `※※※` / 兕 **mmgq** `※※※` / 垇 **fmmg** `※※※`
12	M	``	凸 **hgmg** `※※※`
13	M	``	凹 **mmgd** `※※※`
14	M	``	几 **mtn** `※※` / 凡 **myi** `※※` / 亢 **ymb** `※※`
15	M	``	风 **mqi** `※※` / 凤 **mci** `※※` / 讽 **ymqy** `※※※`
16	M	``	兕 **mmgq** `※※※` / 雋 **wymm** `※※※` / 垇 **fmmg** `※※※`
1	T	``	厂 **dgt** `※※` / 八 **wty** `※※` / 入 **tyi** `※※`
2	T	``	禾 **tttt** `※※※` / 利 **tjh** `※※` / 秃 **tmb** `※※`
3	T	``	竿 **tfj** `※※` / 笔 **ttfn** `※※※` / 笑 **ttdu** `※※※`
4	T	``	行 **tfhh** `※※※` / 彻 **tavn** `※※※` / 役 **tmcy** `※※※`
5	T	``	收 **nhty** `※※※` / 攻 **aty** `※※` / 改 **nty** `※※`
6	T	``	处 **thi** `※※` / 冬 **tuu** `※※` / 务 **tlb** `※※`
7	T	``	乞 **tnb** `※※` / 午 **tfj** `※※` / 矢 **tdu** `※※`
8	T	``	余 **wtu** `※※` / 叙 **wtcy** `※※※` / 除 **bwty** `※※※`
9	T	``	竹 **ttgh** `※※※`
10	T	``	小 **ihty** `※※※` / 升 **tak** `※※` / 长 **tayi** `※※※`
11	T	``	千 **tfk** `※※` / 手 **rtgh** `※※※` / 毛 **tfnv** `※※※`
1	R	``	勿 **qre** `※※` / 匆 **qryi** `※※※` / 场 **fnrt** `※※※`
2	R	``	白 **rrrr** `※※※` / 伯 **wrg** `※※` / 皂 **rab** `※※`
3	R	``	手 **rtgh** `※※※` / 挚 **rvyr** `※※※` / 拿 **wgkr** `※※※`
4	R	``	扎 **rnn** `※※` / 打 **rsh** `※※` / 扑 **rhy** `※※`
5	R	``	斤 **rtth** `※※※` / 斥 **ryi** `※※` / 匠 **ark** `※※`
6	R	``	爪 **rhyi** `※※※` / 反 **rci** `※※` / 瓜 **rcyi** `※※※`
7	R	``	拜 **rdfh** `※※※` / 看 **rhf** `※※` / 掰 **rwvr** `※※※`
8	R	``	牛 **rhk** `※※` / 气 **rnb** `※※` / 失 **rwi** `※※`
9	R	``	牡 **trfg** `※※※` / 牧 **trty** `※※※` / 物 **trqr** `※※※`
10	R	``	丘 **rgd** `※※` / 乒 **rgtr** `※※※` / 乓 **rgyu** `※※※`
1	E	``	形 **gaet** `※※※` / 杉 **set** `※※` / 彤 **myet** `※※※`
2	E	``	妥 **evf** `※※` / 采 **esu** `※※` / 觅 **emqb** `※※※`
3	E	``	月 **eeee** `※※※` / 甩 **env** `※※` / 肌 **emn** `※※`
4	E	``	用 **etnh** `※※※` / 佣 **weh** `※※` / 角 **qej** `※※`
5	E	``	且 **egd** `※※` / 助 **egln** `※※※` / 县 **egcu** `※※※`
6	E	``	有 **def** `※※` / 甫 **gehy** `※※※` / 肖 **ief** `※※`
7	E	``	诵 **yceh** `※※※` / 勇 **celb** `※※※` / 捅 **rceh** `※※※`
8	E	``	象 **qjeu** `※※※` / 遂 **uepi** `※※※` / 像 **wqje** `※※※`
9	E	``	衣 **yeu** `※※` / 农 **pei** `※※` / 表 **geu** `※※`
10	E	``	派 **irey** `※※※` / 旅 **ytey** `※※※` / 哌 **krey** `※※※`
11	E	``	辰 **dfei** `※※※` / 丧 **fueu** `※※※` / 畏 **lgeu** `※※※`
12	E	``	逐 **epi** `※※` / 家 **peu** `※※` / 啄 **keyy** `※※※`
13	E	``	及 **eyi** `※※` / 圾 **feyy** `※※※` / 吸 **keyy** `※※※`
14	E	``	豺 **eeft** `※※※` / 豹 **eeqy** `※※※` / 貌 **eerq** `※※※`
15	E	``	豺 **eeft** `※※※` / 豹 **eeqy** `※※※` / 貌 **eerq** `※※※`
16	E	``	良 **yvei** `※※※` / 限 **bvey** `※※※` / 艰 **cvey** `※※※`
17	E	``	舟 **tei** `※※` / 舰 **temq** `※※※` / 舱 **tewb** `※※※`
18	E	``	乃 **etn** `※※` / 仍 **wen** `※※` / 扔 **ren** `※※`
1	W	``	人 **wwww** `※※※` / 个 **whj** `※※` / 夫 **fwi** `※※`
2	W	``	亿 **wnn** `※※` / 仁 **wfg** `※※` / 什 **wfh** `※※`
3	W	``	八 **wty** `※※` / 分 **wvb** `※※` / 公 **wcu** `※※`
4	W	``	癸 **wgdu** `※※※` / 葵 **awgd** `※※※` / 登 **wgku** `※※※`
5	W	``	祭 **wfiu** `※※※` / 蔡 **awfi** `※※※` / 察 **pwfi** `※※※`
6	W	``	段 **wdmc** `※※※` / 缎 **xwdc** `※※※` / 锻 **qwdc** `※※※`
7	W	``	父 **wqu** `※※` / 办 **lwi** `※※` / 只 **kwu** `※※`
1	Q	``	荒 **aynq** `※※※` / 流 **iycq** `※※※` / 琉 **gycq** `※※※`
2	Q	``	义 **yqi** `※※` / 父 **wqu** `※※` / 艾 **aqu** `※※`
3	Q	``	区 **aqi** `※※` / 冈 **mqi** `※※` / 凶 **qbk** `※※`
4	Q	``	史 **kqi** `※※` / 吏 **gkqi** `※※※` / 更 **gjqi** `※※※`
5	Q	``	金 **qqqq** `※※※` / 鉴 **jtyq** `※※※` / 淦 **iqg** `※※`
6	Q	``	针 **qfh** `※※` / 钉 **qsh** `※※` / 钓 **qqyy** `※※※`
7	Q	``	釓 **qnn** `※※` / 釔 **qnn** `※※` / 釕 **qbh** `※※`
8	Q	``	勺 **qyi** `※※` / 勿 **qre** `※※` / 匀 **qud** `※※`
9	Q	``	饥 **qnmn** `※※※` / 危 **qdbb** `※※※` / 负 **qmu** `※※`
10	Q	``	夕 **qtny** `※※※` / 歹 **gqi** `※※` / 外 **qhy** `※※`
11	Q	``	儿 **qtn** `※※` / 元 **fqb** `※※` / 匹 **aqv** `※※`
12	Q	``	氏 **qav** `※※` / 低 **wqay** `※※※` / 纸 **xqan** `※※※`
13	Q	``	久 **qyi** `※※` / 玖 **gqyy** `※※※` / 灸 **qyou** `※※※`
14	Q	``	无 **fqv** `※※` / 见 **mqb** `※※` / 观 **cmqn** `※※※`
15	Q	``	然 **qdou** `※※※` / 燃 **oqdo** `※※※` / 炙 **qou** `※※`
16	Q	``	傲 **wgqt** `※※※` / 赘 **gqtm** `※※※` / 熬 **gqto** `※※※`
17	Q	``	鱼 **qgf** `※※` / 渔 **iqgg** `※※※` / 鲁 **qgjf** `※※※`
18	Q	``	欠 **qwu** `※※` / 尔 **qiu** `※※` / 次 **uqwy** `※※※`
19	Q	``	犯 **qtbn** `※※※` / 狂 **qtgg** `※※※` / 犹 **qtdn** `※※※`
20	Q	``	乐 **qii** `※※` / 烁 **oqiy** `※※※` / 砾 **dqiy** `※※※`
21	Q	``	印 **qgbh** `※※※` / 卯 **qtbh** `※※※` / 仰 **wqbh** `※※※`
22	Q	``	伊 **wvtt** `※※※` / 争 **qvhj** `※※※` / 君 **vtkd** `※※※`
1	Y	``	丈 **dyi** `※※` / 久 **qyi** `※※` / 及 **eyi** `※※`
2	Y	``	八 **wty** `※※` / 入 **tyi** `※※` / 爪 **rhyi** `※※※`
3	Y	``	言 **yyyy** `※※※` / 信 **wyg** `※※` / 唁 **kyg** `※※`
4	Y	``	计 **yfh** `※※` / 订 **ysh** `※※` / 认 **ywy** `※※`
5	Y	``	亡 **ynv** `※※` / 丹 **myd** `※※` / 亢 **ymb** `※※`
6	Y	``	文 **yygy** `※※※` / 刘 **yjh** `※※` / 齐 **yjj** `※※`
7	Y	``	方 **yygn** `※※※` / 仿 **wyn** `※※` / 访 **yyn** `※※`
8	Y	``	卜 **hhy** `※※` / 寸 **fghy** `※※※` / 小 **ihty** `※※※`
9	Y	``	准 **uwyg** `※※※` / 谁 **ywyg** `※※※` / 难 **cwyg** `※※※`
10	Y	``	京 **yiu** `※※` / 享 **ybf** `※※` / 哀 **yeu** `※※`
11	Y	``	 
12	Y	``	广 **yygt** `※※※` / 扩 **ryt** `※※` / 庄 **yfd** `※※`
13	Y	``	 
1	U	``	斗 **ufk** `※※` / 冬 **tuu** `※※` / 头 **udi** `※※`
2	U	``	飞 **nui** `※※` / 补 **puhy** `※※※` / 初 **puvn** `※※※`
3	U	``	北 **uxn** `※※` / 乖 **tfux** `※※※` / 背 **uxef** `※※※`
4	U	``	习 **nud** `※※` / 匀 **qud** `※※` / 冯 **ucg** `※※`
5	U	``	丫 **uhk** `※※` / 羊 **udj** `※※` / 兑 **ukqb** `※※※`
6	U	``	立 **uuuu** `※※※` / 产 **ute** `※※` / 位 **wug** `※※`
7	U	``	辛 **uygh** `※※※` / 宰 **puj** `※※` / 辜 **duj** `※※`
8	U	``	平 **guhk** `※※※` / 乎 **tuhk** `※※※` / 兰 **uff** `※※`
9	U	``	六 **uygy** `※※※` / 交 **uqu** `※※` / 郊 **uqbh** `※※※`
10	U	``	门 **uyhn** `※※※` / 们 **wun** `※※` / 闪 **uwi** `※※`
11	U	``	門 **uhng** `※※※` / 閂 **ugd** `※※` / 們 **wug** `※※`
12	U	``	疗 **ubk** `※※` / 疟 **uagd** `※※※` / 疙 **utnv** `※※※`
13	U	``	壮 **ufg** `※※` / 妆 **uvg** `※※` / 状 **udy** `※※`
14	U	``	母 **xgui** `※※※` / 每 **txgu** `※※※` / 拇 **rxgu** `※※※`
15	U	``	帝 **upmh** `※※※` / 旁 **upyb** `※※※` / 商 **umwk** `※※※`
1	I	``	步 **hir** `※※` / 涉 **ihit** `※※※` / 频 **hidm** `※※※`
2	I	``	汁 **ifh** `※※` / 汇 **ian** `※※` / 汉 **icy** `※※`
3	I	``	水 **iiii** `※※※` / 冰 **uiy** `※※` / 汞 **aiu** `※※`
4	I	``	录 **viu** `※※` / 隶 **vii** `※※` / 泰 **dwiu** `※※※`
5	I	``	少 **itr** `※※` / 尘 **iff** `※※` / 尖 **idu** `※※`
6	I	``	小 **ihty** `※※※` / 示 **fiu** `※※` / 东 **aii** `※※`
7	I	``	当 **ivf** `※※` / 肖 **ief** `※※` / 尚 **imkf** `※※※`
8	I	``	学 **ipbf** `※※※` / 觉 **ipmq** `※※※` / 搅 **ripq** `※※※`
9	I	``	犀 **nirh** `※※※` / 墀 **fnih** `※※※` / 樨 **snih** `※※※`
10	I	``	永 **ynii** `※※※` / 咏 **kyni** `※※※` / 泳 **iyni** `※※※`
11	I	``	兆 **iqv** `※※` / 函 **bibk** `※※※` / 挑 **riqn** `※※※`
12	I	``	鳏 **qgli** `※※※` / 鰥 **qoli** `※※※`
13	I	``	肃 **vijk** `※※※` / 萧 **avij** `※※※` / 啸 **kvij** `※※※`
14	I	``	光 **iqb** `※※` / 恍 **niqn** `※※※` / 晃 **jiqb** `※※※`
15	I	``	兴 **iwu** `※※` / 应 **yid** `※※` / 俭 **wwgi** `※※※`
16	I	``	不 **gii** `※※` / 坏 **fgiy** `※※※` / 否 **gikf** `※※※`
17	I	``	求 **fiyi** `※※※` / 球 **gfiy** `※※※` / 俅 **wfiy** `※※※`
18	I	``	未 **fii** `※※` / 朱 **rii** `※※` / 束 **gkii** `※※※`
19	I	``	聚 **bcti** `※※※` / 骤 **cbci** `※※※` / 衆 **tlti** `※※※`
1	O	``	杰 **sou** `※※` / 点 **hkou** `※※※` / 热 **rvyo** `※※※`
2	O	``	火 **oooo** `※※※` / 灭 **goi** `※※` / 灰 **dou** `※※`
3	O	``	米 **oyty** `※※※` / 来 **goi** `※※` / 咪 **koy** `※※`
4	O	``	亦 **you** `※※` / 赤 **fou** `※※` / 迹 **yopi** `※※※`
5	O	``	变 **yocu** `※※※` / 峦 **yomj** `※※※` / 弯 **yoxb** `※※※`
6	O	``	 
7	O	``	鬯 **qobx** `※※※` / 鹵 **hlqo** `※※※` / 滷 **ihlo** `※※※`
8	O	``	业 **ogd** `※※` / 亚 **gogd** `※※※` / 严 **godr** `※※※`
1	P	``	之 **pppp** `※※※` / 乏 **tpi** `※※` / 芝 **apu** `※※`
2	P	``	辽 **bpk** `※※` / 边 **lpv** `※※` / 迂 **gfpk** `※※※`
3	P	``	廷 **tfpd** `※※※` / 延 **thpd** `※※※` / 诞 **ythp** `※※※`
4	P	``	宁 **psj** `※※` / 穴 **pwu** `※※` / 它 **pxb** `※※`
5	P	``	冗 **pmb** `※※` / 写 **pgng** `※※※` / 军 **plj** `※※`
6	P	``	礼 **pynn** `※※※` / 补 **puhy** `※※※` / 初 **puvn** `※※※`
1	N	``	乙 **nnll** `※※※` / 乞 **tnb** `※※` / 亿 **wnn** `※※`
2	N	``	已 **nnnn** `※※※`
3	N	``	己 **nngn** `※※※` / 记 **ynn** `※※` / 岂 **mnb** `※※`
4	N	``	巳 **nngn** `※※※` / 包 **qnv** `※※` / 导 **nfu** `※※`
5	N	``	尸 **nngt** `※※※` / 户 **yne** `※※` / 尺 **nyi** `※※`
6	N	``	心 **nyny** `※※※` / 必 **nte** `※※` / 志 **fnu** `※※`
7	N	``	忆 **nnn** `※※` / 忙 **nynn** `※※※` / 怀 **ngiy** `※※※`
8	N	``	恭 **awnu** `※※※` / 添 **igdn** `※※※` / 慕 **ajdn** `※※※`
9	N	``	羽 **nnyg** `※※※` / 翅 **fcnd** `※※※` / 翁 **wcnf** `※※※`
10	N	``	了 **bnh** `※※` / 买 **nudu** `※※※` / 卖 **fnud** `※※※`
11	N	``	改 **nty** `※※` / 凯 **mnmn** `※※※` / 剀 **mnjh** `※※※`
12	N	``	民 **nav** `※※` / 氓 **ynna** `※※※` / 眠 **hnan** `※※※`
13	N	``	巨 **and** `※※` / 臣 **ahnh** `※※※` / 拒 **rang** `※※※`
14	N	``	决 **unwy** `※※※` / 诀 **ynwy** `※※※` / 块 **fnwy** `※※※`
15	N	``	声 **fnr** `※※` / 眉 **nhd** `※※` / 媚 **vnhg** `※※※`
16	N	``	 
17	N	``	尸 **nngt** `※※※` / 己 **nngn** `※※※` / 巳 **nngn** `※※※`
18	N	``	讠 **yyn** `※※`
19	N	``	几 **mtn** `※※` / 九 **vtn** `※※` / 瓦 **gnyn** `※※※`
20	N	``	阝 **bnh** `※※`
21	N	``	廴 **pny** `※※`
22	N	``	乃 **etn** `※※` / 场 **fnrt** `※※※` / 扬 **rnrt** `※※※`
23	N	``	瓦 **gnyn** `※※※` / 以 **nywy** `※※※` / 叫 **knhh** `※※※`
24	N	``	巛 **vnnn** `※※※`
25	N	``	戈 **agnt** `※※※` / 戊 **dnyt** `※※※` / 戌 **dgnt** `※※※`
26	N	``	专 **fnyi** `※※※` / 传 **wfny** `※※※` / 转 **lfny** `※※※`
27	N	``	亏 **fnv** `※※` / 与 **gngd** `※※※` / 弓 **xngn** `※※※`
28	N	``	鼎 **hndn** `※※※` / 鼐 **ehnn** `※※※`
29	N	``	万 **dnv** `※※` / 方 **yygn** `※※※` / 幻 **xnn** `※※`
30	N	``	车 **lgnh** `※※※` / 发 **ntcy** `※※※` / 亥 **yntw** `※※※`
31	N	``	也 **bnhn** `※※※` / 乜 **nnv** `※※`
32	N	``	亡 **ynv** `※※` / 世 **anv** `※※` / 芒 **aynb** `※※※`
33	N	``	七 **agn** `※※` / 儿 **qtn** `※※` / 匕 **xtn** `※※`
34	N	``	飞 **nui** `※※` / 气 **rnb** `※※` / 讯 **ynfh** `※※※`
35	N	``	刁 **ngd** `※※` / 刀 **vnt** `※※` / 力 **ltn** `※※`
36	N	``	今 **wynb** `※※※` / 吟 **kwyn** `※※※` / 含 **wynk** `※※※`
37	N	``	夕 **qtny** `※※※` / 夂 **ttny** `※※※`
38	N	``	辶 **pyny** `※※※`
39	N	``	 
40	N	``	吳 **kndu** `※※※` / 娛 **vknd** `※※※`
41	N	``	 
1	B	``	粼 **oqab** `※※※`
2	B	``	子 **bbbb** `※※※` / 仔 **wbg** `※※` / 孕 **ebf** `※※`
3	B	``	孔 **bnn** `※※` / 孙 **biy** `※※` / 吼 **kbnn** `※※※`
4	B	``	队 **bwy** `※※` / 邓 **cbh** `※※` / 邦 **dtbh** `※※※`
5	B	``	耳 **bghg** `※※※` / 取 **bcy** `※※` / 茸 **abf** `※※`
6	B	``	仓 **wbb** `※※` / 犯 **qtbn** `※※※` / 创 **wbjh** `※※※`
7	B	``	了 **bnh** `※※` / 辽 **bpk** `※※` / 疗 **ubk** `※※`
8	B	``	也 **bnhn** `※※※` / 他 **wbn** `※※` / 地 **fbn** `※※`
9	B	``	屯 **gbnv** `※※※` / 凶 **qbk** `※※` / 出 **bmk** `※※`
10	B	``	叩 **kbh** `※※` / 印 **qgbh** `※※※` / 卯 **qtbh** `※※※`
11	B	``	 
12	B	``	顾 **dbdm** `※※※` / 剜 **pqbj** `※※※`
13	B	``	报 **rbcy** `※※※` / 服 **ebcy** `※※※` / 赧 **fobc** `※※※`
14	B	``	卫 **bgd** `※※` / 节 **abj** `※※` / 爷 **wqbj** `※※※`
15	B	``	予 **cbj** `※※` / 矛 **cbtr** `※※※` / 抒 **rcbh** `※※※`
1	C	``	又 **cccc** `※※※` / 叉 **cyi** `※※` / 支 **fcu** `※※`
2	C	``	么 **tcu** `※※` / 云 **fcu** `※※` / 公 **wcu** `※※`
3	C	``	巴 **cnhn** `※※※` / 色 **qcb** `※※` / 把 **rcn** `※※`
4	C	``	劲 **caln** `※※※` / 茎 **acaf** `※※※` / 径 **tcag** `※※※`
5	C	``	予 **cbj** `※※` / 令 **wycu** `※※※` / 矛 **cbtr** `※※※`
6	C	``	马 **cnng** `※※※` / 冯 **ucg** `※※` / 吗 **kcg** `※※`
7	C	``	馬 **cghy** `※※※` / 馭 **ccy** `※※` / 馮 **ucy** `※※`
8	C	``	瓜 **rcyi** `※※※` / 即 **vcbh** `※※※` / 郎 **yvcb** `※※※`
1	X	``	幻 **xnn** `※※` / 玄 **yxu** `※※` / 幼 **xln** `※※`
2	X	``	纠 **xnhh** `※※※` / 红 **xag** `※※` / 纤 **xtfh** `※※※`
3	X	``	糾 **xnhh** `※※※` / 紀 **xnn** `※※` / 紂 **xfy** `※※`
4	X	``	弓 **xngn** `※※※` / 引 **xhh** `※※` / 弗 **xjk** `※※`
5	X	``	匕 **xtn** `※※` / 比 **xxn** `※※` / 仑 **wxb** `※※`
6	X	``	 
7	X	``	乡 **xte** `※※` / 丝 **xxgf** `※※※` / 芗 **axtr** `※※※`
