word	code	tags	ToRCH-freq
一区	ggaq	ⓣ	3
一千	ggtf	ⓦ/ⓣ	58
一半	gguf	★/➆/ⓦ/ⓣ	155
一单	gguj	ⓣ	1
一卷	ggud	ⓣ	1
一厘	ggdj	ⓣ	1
一去	ggfc	ⓣ	1
一双	ggcc	ⓣ	10
一反	ggrc	ⓣ	1
一发	ggnt	➆/ⓦ/ⓣ	4
一口	ggkk	★/➆/ⓣ	95
一句	ggqk	ⓣ	32
一只	ggkw	ⓣ	31
一台	ggck	ⓣ	11
一叶	ggkf	ⓦ/ⓣ	2
一号	ggkg	ⓣ	27
一同	ggmg	★/➆/ⓣ	62
一名	ggqk	ⓣ	15
一向	ggtm	★/➆/ⓣ	75
一吨	ggkg	ⓣ	2
一听	ggkr	ⓣ	2
一员	ggkm	ⓣ	0
一周	ggmf	ⓦ/ⓣ	4
一味	ggkf	★/➆/ⓣ	35
一品	ggkk	ⓦ/ⓣ	9
一响	ggkt	ⓣ	0
一哥	ggsk	ⓦ/ⓣ	1
一四	gglh	ⓣ	2
一回	gglk	ⓣ	3
一团	gglf	ⓣ	33
一国	gglg	ⓣ	12
一圈	gglu	ⓣ	10
一地	ggfb	ⓣ	2
一场	ggfn	ⓣ	179
一块	ggfn	ⓣ	185
一城	ggfd	ⓣ	8
一堂	ggip	ⓦ/ⓣ	9
一堆	ggfw	ⓣ	9
一堵	ggff	ⓣ	0
一声	ggfn	ⓣ	40
一壶	ggfp	ⓣ	1
一处	ggth	ⓣ	6
一夜	ggyw	ⓦ/ⓣ	6
一大	ggdd	ⓦ/ⓣ	5
一天	gggd	➆/ⓦ/ⓣ	252
一头	ggud	★/➆/ⓣ	90
一套	ggdd	★/ⓣ	78
一女	ggvv	ⓣ	1
一好	ggvb	ⓣ	0
一如	ggvk	★/➆/ⓦ/ⓣ	14
一子	ggbb	ⓣ	1
一字	ggpb	ⓣ	1
一季	ggtb	ⓣ	0
一宗	ggpf	ⓣ	0
一定	ggpg	★/➆/ⓣ	1535
一审	ggpj	➆/ⓣ	5
一室	ggpg	ⓣ	0
一家	ggpe	ⓣ	237
一宿	ggpw	★/ⓣ	4
一寸	ggfg	ⓣ	1
一对	ggcf	ⓣ	69
一封	ggff	ⓣ	7
一尊	ggus	ⓣ	1
一小	ggih	ⓣ	23
一尺	ggny	ⓣ	2
一局	ggnn	ⓦ/ⓣ	5
一层	ggnf	ⓣ	10
一届	ggnm	ⓣ	4
一山	ggmm	ⓦ/ⓣ	2
一岁	ggmq	ⓣ	1
一己	ggnn	★/➆/ⓣ	10
一市	ggym	ⓣ	7
一带	gggk	★/➆/ⓣ	214
一帧	ggmh	ⓣ	2
一帮	ggdt	ⓣ	1
一幅	ggmh	ⓣ	3
一幕	ggaj	ⓣ	30
一幢	ggmh	ⓣ	2
一干	ggfg	★/➆/ⓣ	0
一平	gggu	ⓣ	0
一年	ggrh	ⓦ/ⓣ	36
一并	ggua	★/➆/ⓣ	10
一库	ggyl	ⓣ	1
一应	ggyi	★/➆/ⓣ	1
一度	ggya	★/➆/ⓦ/ⓣ	85
一座	ggyw	ⓣ	16
一开	ggga	ⓣ	0
一式	ggaa	ⓣ	6
一张	ggxt	ⓣ	35
一径	ggtc	★/➆/ⓣ	0
一律	ggtv	★/➆/ⓣ	32
一心	ggny	★/➆/ⓣ	39
一念	ggwy	ⓣ	1
一怔	ggng	★/ⓣ	11
一总	gguk	★/➆/ⓣ	0
一惊	ggny	ⓣ	22
一想	ggsh	ⓣ	1
一意	gguj	ⓣ	1
一成	ggdn	ⓣ	0
一战	gghk	ⓦ/ⓣ	2
一截	ggfa	ⓣ	0
一户	ggyn	ⓣ	2
一房	ggyn	ⓣ	2
一扇	ggyn	ⓣ	2
一手	ggrt	★/➆/ⓣ	85
一打	ggrs	ⓣ	2
一批	ggrx	ⓣ	5
一把	ggrc	ⓣ	25
一折	ggrr	ⓣ	1
一抹	ggrg	ⓣ	3
一拖	ggrt	ⓦ	1
一招	ggrv	ⓣ	1
一拜	ggrd	ⓣ	1
一拨	ggrn	ⓣ	7
一拳	ggud	ⓣ	1
一指	ggrx	ⓣ	1
一捆	ggrl	ⓣ	0
一排	ggrd	ⓣ	2
一握	ggrn	ⓣ	1
一搏	ggrg	ⓣ	0
一摊	ggrc	ⓣ	1
一支	ggfc	ⓣ	11
一改	ggnt	★/ⓣ	3
一文	ggyy	ⓣ	2
一斑	gggy	★/➆/ⓣ	13
一斤	ggrt	ⓣ	0
一新	ggus	★/➆/ⓣ	9
一方	ggyy	★/ⓣ	39
一旁	ggup	★/➆/ⓣ	84
一族	ggyt	➆/ⓣ	0
一日	ggjj	★/ⓦ/ⓣ	85
一旦	ggjg	➆/ⓣ	223
一早	ggjh	★/➆/ⓣ	30
一时	ggjf	★/➆/ⓣ	203
一明	ggje	ⓣ	1
一是	ggjg	ⓣ	16
一晃	ggji	★/➆/ⓣ	16
一晚	ggjq	ⓣ	8
一景	ggjy	ⓣ	1
一曲	ggma	ⓣ	5
一月	ggee	ⓦ/ⓣ	26
一朝	ggfj	★/➆/ⓣ	6
一期	ggad	ⓣ	2
一木	ggss	ⓣ	1
一本	ggsg	ⓦ/ⓣ	10
一朵	ggms	ⓣ	1
一村	ggsf	ⓣ	5
一束	gggk	ⓣ	1
一条	ggts	ⓣ	361
一来	gggo	ⓦ/ⓣ	33
一杯	ggsg	ⓣ	5
一板	ggsr	ⓣ	0
一枚	ggst	ⓣ	10
一枝	ggsf	ⓣ	1
一枪	ggsw	ⓣ	0
一架	gglk	ⓣ	8
一查	ggsj	ⓣ	1
一栋	ggsa	ⓣ	1
一栏	ggsu	ⓣ	0
一株	ggsr	ⓣ	1
一样	ggsu	★/➆/ⓣ	1511
一根	ggsv	ⓣ	15
一格	ggst	ⓣ	0
一案	ggpv	ⓣ	0
一桌	gghj	ⓣ	0
一档	ggsi	ⓣ	1
一桩	ggsy	ⓣ	2
一桶	ggsc	ⓣ	0
一梦	ggss	ⓣ	6
一梯	ggsu	ⓣ	0
一棵	ggsj	ⓣ	4
一楼	ggso	ⓣ	14
一概	ggsv	★/➆/ⓣ	11
一横	ggsa	ⓣ	1
一次	gguq	ⓣ	81
一款	ggff	ⓣ	4
一步	gghi	ⓣ	8
一段	ggwd	ⓣ	13
一比	ggxx	ⓣ	0
一毛	ggtf	ⓣ	1
一气	ggrn	➆/ⓣ	7
一江	ggia	ⓣ	2
一汽	ggir	ⓦ/ⓣ	1
一沓	ggij	ⓣ	2
一波	ggih	ⓣ	0
一洞	ggim	ⓣ	1
一派	ggir	★/ⓣ	27
一流	ggiy	★/➆/ⓣ	76
一溜	ggiq	ⓣ	2
一滩	ggic	ⓣ	1
一滴	ggiu	ⓣ	0
一点	gghk	ⓣ	918
一片	ggth	ⓣ	233
一版	ggth	ⓣ	1
一物	ggtr	ⓣ	2
一班	gggy	ⓣ	2
一球	gggf	ⓣ	0
一瓶	ggua	ⓣ	4
一生	ggtg	★/➆/ⓦ/ⓣ	361
一番	ggto	★/ⓣ	157
一百	ggdj	ⓦ/ⓣ	97
一盆	ggwv	ⓣ	3
一盏	gggl	ⓣ	0
一盒	ggwg	ⓣ	2
一盘	ggte	ⓣ	3
一目	gghh	ⓣ	0
一直	ggfh	★/➆/ⓦ/ⓣ	1287
一省	ggit	ⓣ	1
一看	ggrh	ⓣ	26
一眼	gghv	★/ⓣ	207
一瞥	ggum	★/➆/ⓣ	2
一瞬	gghe	★/➆/ⓣ	20
一碗	ggdp	ⓣ	5
一碟	ggda	ⓣ	1
一票	ggsf	ⓣ	1
一种	ggtk	ⓣ	1039
一科	ggtu	ⓣ	1
一秒	ggti	ⓣ	14
一程	ggtk	ⓣ	5
一空	ggpw	➆/ⓣ	7
一站	gguh	ⓣ	17
一章	gguj	ⓣ	2
一端	ggum	➆/ⓣ	33
一笑	ggtt	ⓣ	4
一笔	ggtt	ⓣ	8
一等	ggtf	ⓣ	16
一筹	ggtd	➆/ⓣ	11
一算	ggth	ⓣ	0
一箱	ggts	ⓣ	0
一篇	ggty	ⓣ	8
一米	ggoy	ⓣ	6
一类	ggod	ⓣ	36
一粒	ggou	ⓣ	1
一级	ggxe	★/➆/ⓣ	63
一纸	ggxq	ⓣ	3
一线	ggxg	★/➆/ⓣ	56
一组	ggxe	ⓣ	3
一经	ggxc	★/➆/ⓣ	18
一绝	ggxq	ⓣ	0
一统	ggxy	➆/ⓦ/ⓣ	5
一维	ggxw	ⓦ/ⓣ	0
一缕	ggxo	ⓣ	1
一罐	ggrm	ⓣ	0
一网	ggmq	ⓣ	5
一群	ggvt	ⓣ	4
一者	ggft	★/ⓣ	0
一聊	ggbq	ⓣ	2
一职	ggbk	ⓣ	1
一股	ggem	ⓣ	11
一脚	ggef	ⓣ	3
一脸	ggew	ⓣ	11
一腔	ggep	ⓣ	2
一腿	ggev	ⓣ	2
一致	gggc	★/➆/ⓦ/ⓣ	316
一般	ggte	★/➆/ⓦ/ⓣ	970
一艘	ggte	ⓣ	4
一色	ggqc	★/➆/ⓦ/ⓣ	1
一节	ggab	ⓣ	5
一菲	ggad	ⓣ	7
一行	ggtf	★/➆/ⓦ/ⓣ	70
一袋	ggwa	ⓣ	0
一袭	ggdx	ⓣ	1
一览	ggjt	★/➆/ⓦ/ⓣ	2
一觉	ggip	ⓣ	0
一角	ggqe	★/ⓦ/ⓣ	40
一言	ggyy	ⓣ	1
一计	ggyf	ⓣ	1
一记	ggyn	ⓣ	2
一词	ggyn	ⓣ	3
一语	ggyg	ⓣ	7
一说	ggyu	ⓣ	15
一诺	ggya	ⓣ	7
一贯	ggxf	★/➆/ⓣ	49
一起	ggfh	★/➆/ⓦ/ⓣ	1181
一趟	ggfh	ⓣ	3
一跃	ggkh	ⓣ	8
一跤	ggkh	ⓣ	0
一路	ggkh	★/➆/ⓣ	369
一跳	ggkh	ⓣ	19
一身	ggtm	★/➆/ⓣ	107
一车	gglg	ⓣ	0
一轮	gglw	ⓣ	6
一辆	gglg	ⓣ	14
一辈	ggdj	ⓣ	0
一辩	gguy	ⓣ	0
一边	gglp	★/➆/ⓣ	635
一连	gglp	★/➆/ⓣ	14
一通	ggce	★/➆/ⓣ	7
一遍	ggyn	ⓦ/ⓣ	11
一道	ggut	★/➆/ⓣ	154
一遭	gggm	ⓣ	2
一部	gguk	ⓦ/ⓣ	20
一里	ggjf	ⓣ	0
一量	ggjg	ⓣ	0
一金	ggqq	ⓣ	0
一键	ggqv	ⓣ	0
一门	gguy	ⓣ	37
一闪	gguw	ⓣ	3
一间	gguj	ⓣ	13
一队	ggbw	ⓣ	0
一阵	ggbl	★/➆/ⓣ	286
一院	ggbp	ⓦ/ⓣ	1
一隅	ggbj	➆/ⓣ	13
一集	ggwy	ⓣ	0
一震	ggfd	ⓣ	1
一霎	ggfu	★/➆/ⓣ	2
一面	ggdm	★/➆/ⓣ	168
一页	ggdm	ⓣ	2
一项	ggad	ⓣ	13
一顺	ggkd	ⓣ	1
一顿	gggb	ⓣ	5
一颗	ggjs	ⓣ	4
一题	ggjg	ⓣ	1
一颤	ggyl	ⓣ	1
一飞	ggnu	ⓣ	32
一餐	gghq	ⓣ	1
一首	ggut	ⓣ	5
一鸣	ggkq	ⓣ	14
一默	gglf	ⓣ	3
一齐	ggyj	★/➆/ⓣ	17
一龙	ggdx	ⓦ/ⓣ	1
丁丁	sgsg	➆/ⓦ/ⓣ	10
丁东	sgai	➆/ⓣ	0
丁伟	sgwf	ⓦ/ⓣ	1
丁克	sgdq	★/➆/ⓦ/ⓣ	1
丁冬	sgtu	➆/ⓣ	0
丁卯	sgqt	ⓦ/ⓣ	1
丁坝	sgfm	➆/ⓣ	0
丁字	sgpb	ⓦ/ⓣ	3
丁宁	sgps	➆/ⓦ/ⓣ	3
丁家	sgpe	ⓣ	1
丁巳	sgnn	ⓦ/ⓣ	1
丁当	sgiv	➆/ⓦ/ⓣ	2
丁忧	sgnd	➆/ⓦ/ⓣ	3
丁方	sgyy	ⓣ	0
丁某	sgaf	ⓣ	2
丁氏	sgqa	ⓦ/ⓣ	1
丁点	sghk	ⓣ	4
丁烷	sgop	ⓦ/ⓣ	1
丁玲	sggw	ⓦ/ⓣ	1
丁磊	sgdd	ⓦ/ⓣ	2
丁部	sguk	➆/ⓣ	0
丁酉	sgsg	ⓦ/ⓣ	1
丁零	sgfw	★/➆/ⓦ/ⓣ	2
丁香	sgtj	★/➆/ⓦ/ⓣ	13
七一	aggg	★/➆/ⓦ/ⓣ	3
七七	agag	➆/ⓦ/ⓣ	1
七万	agdn/aggq	ⓣ	1
七个	agwh	ⓣ	1
七二	agfg	ⓣ	0
七五	aggg	ⓦ/ⓣ	1
七亿	agwn	ⓣ	2
七位	agwu	ⓣ	0
七八	agwt	ⓣ	46
七出	agbm	ⓦ/ⓣ	0
七分	agwv	ⓦ/ⓣ	9
七十	agfg	ⓦ/ⓣ	30
七千	agtf	ⓦ/ⓣ	8
七叔	aghi	ⓣ	22
七古	agdg	➆/ⓣ	0
七号	agkg	ⓣ	0
七品	agkk	ⓦ/ⓣ	3
七国	aglg	ⓦ/ⓣ	2
七场	agfn	ⓣ	2
七块	agfn	ⓣ	0
七夕	agqt	★/➆/ⓦ/ⓣ	1
七大	agdd	ⓦ/ⓣ	27
七天	aggd	ⓦ/ⓣ	0
七子	agbb	ⓦ/ⓣ	0
七家	agpe	ⓣ	2
七寸	agfg	ⓣ	2
七尺	agny	ⓣ	0
七局	agnn	ⓣ	2
七岁	agmq	ⓣ	2
七年	agrh	ⓦ/ⓣ	4
七度	agya	ⓦ/ⓣ	0
七彩	ages	★/➆/ⓦ/ⓣ	16
七律	agtv	★/➆/ⓦ/ⓣ	6
七情	agng	➆/ⓦ/ⓣ	0
七成	agdn	ⓣ	0
七日	agjj	ⓣ	6
七旬	agqj	ⓣ	1
七时	agjf	ⓣ	1
七月	agee	★/ⓦ/ⓣ	37
七条	agts	ⓣ	0
七次	aguq	ⓣ	1
七点	aghk	ⓣ	13
七爷	agwq	ⓦ/ⓣ	1
七百	agdj	ⓣ	3
七种	agtk	ⓣ	0
七秒	agti	ⓣ	0
七窍	agpw	★/➆/ⓣ	2
七级	agxe	ⓣ	0
七绝	agxq	★/➆/ⓦ/ⓣ	2
七里	agjf	ⓣ	2
七门	aguy	ⓦ/ⓣ	0
七雄	agdc	ⓦ/ⓣ	1
万一	dngg	★/➆/ⓦ/ⓣ	107
万万	dndn/gqgq	★/➆/ⓣ	25
万丈	dndy	★/➆/ⓣ	7
万三	dndg	ⓦ/ⓣ	1
万世	dnan/gqan	★/➆/ⓣ	3
万个	dnwh	ⓣ	1
万乘	dntu	ⓦ/ⓣ	1
万事	dngk	➆/ⓣ	23
万亩	dnyl	ⓣ	1
万人	dnww/gqww	ⓣ	65
万亿	dnwn	ⓦ/ⓣ	48
万仞	dnwv	ⓣ	0
万代	dnwa	★/➆/ⓦ/ⓣ	0
万件	dnwr	ⓣ	0
万份	dnww	ⓣ	0
万众	dnww	★/➆/ⓦ/ⓣ	13
万余	dnwt	ⓣ	4
万俟	dnwc	➆/ⓦ/ⓣ	0
万倍	dnwu	ⓣ	3
万元	dnfq	ⓣ	108
万全	dnwg	★/➆/ⓦ/ⓣ	3
万册	dnmm	ⓣ	0
万分	dnwv	★/➆/ⓣ	39
万千	dntf	★/➆/ⓣ	18
万历	dndl	➆/ⓦ/ⓣ	4
万古	dndg	★/➆/ⓦ/ⓣ	13
万只	dnkw	ⓣ	0
万台	dnck	ⓦ/ⓣ	0
万名	dnqk	ⓣ	10
万向	dntm	ⓦ/ⓣ	0
万吨	dnkg	ⓣ	1
万国	dnlg	★/➆/ⓦ/ⓣ	0
万多	dnqq	ⓣ	0
万夫	dnfw	ⓣ	1
万套	dndd	ⓣ	0
万字	dnpb	ⓦ/ⓣ	1
万安	dnpv/gqpv	ⓦ/ⓣ	5
万宝	dnpg	ⓦ/ⓣ	1
万家	dnpe/gqpe	ⓣ	2
万山	dnmm/gqmm	ⓦ/ⓣ	4
万岁	dnmq	★/➆/ⓦ/ⓣ	24
万年	dnrh	★/➆/ⓦ/ⓣ	7
万幸	dnfu	★/➆/ⓣ	2
万恶	dngo	★/➆/ⓣ	4
万户	dnyn/gqyn	ⓦ/ⓣ	1
万斯	dnad	ⓦ/ⓣ	6
万方	dnyy/gqyy	★/➆/ⓦ/ⓣ	7
万木	dnss/gqss	ⓣ	1
万机	dnsm	➆/ⓣ	0
万条	dnts	ⓣ	0
万杰	dnso	ⓣ	3
万松	dnsw	ⓦ/ⓣ	1
万次	dnuq/gquq	ⓣ	23
万步	dnhi	ⓣ	1
万死	dngq/gqgq	➆/ⓣ	0
万民	dnna	★/➆/ⓣ	2
万法	dnif	ⓦ/ⓣ	6
万灵	dnvo	ⓣ	1
万物	dntr	★/➆/ⓣ	142
万特	dntr	ⓦ/ⓣ	0
万状	dnud	★/➆/ⓣ	0
万盛	dndn/gqdn	ⓦ/ⓣ	4
万福	dnpy	★/➆/ⓦ/ⓣ	16
万种	dntk	ⓣ	0
万科	dntu	ⓦ/ⓣ	15
万端	dnum	★/➆/ⓣ	0
万籁	dntg	★/➆/ⓦ/ⓣ	28
万维	dnxw	ⓣ	0
万能	dnce	★/➆/ⓦ/ⓣ	13
万般	dnte	★/➆/ⓣ	14
万花	dnaw	ⓣ	1
万行	dntf	ⓦ/ⓣ	0
万象	dnqj	★/➆/ⓦ/ⓣ	16
万贯	dnxf	★/➆/ⓣ	16
万超	dnfh	ⓣ	1
万辆	dnlg	ⓣ	0
万达	dndp	ⓦ/ⓣ	8
万通	dnce	ⓦ/ⓣ	2
万邦	dndt	ⓣ	0
万里	dnjf	ⓦ/ⓣ	19
万金	dnqq	ⓣ	1
万钢	dnqm	ⓦ/ⓣ	1
万钧	dnqq	ⓣ	1
万隆	dnbt	ⓦ/ⓣ	1
万难	dncw	★/➆/ⓣ	1
万顷	dnxd	★/➆/ⓣ	2
万顺	dnkd	ⓣ	1
丈人	dyww	★/➆/ⓦ/ⓣ	1
丈夫	dyfw	★/➆/ⓦ/ⓣ	333
丈母	dyxg	➆/ⓣ	0
丈量	dyjg	★/➆/ⓣ	2
三一	dggg	ⓦ/ⓣ	1
三七	dgag	★/➆/ⓦ/ⓣ	3
三万	dgdn/dggq	ⓣ	16
三丈	dgdy	ⓣ	0
三三	dgdg	ⓦ/ⓣ	0
三下	dggh	ⓣ	1
三两	dggm	ⓣ	5
三个	dgwh	ⓣ	57
三中	dgkh	ⓦ/ⓣ	1
三义	dgyq	ⓦ/ⓣ	1
三九	dgvt	★/➆/ⓦ/ⓣ	5
三二	dgfg	ⓣ	0
三五	dggg	ⓣ	20
三井	dgfj	ⓦ/ⓣ	2
三亚	dggo	ⓦ/ⓣ	21
三产	dgut	★/➆/ⓦ/ⓣ	2
三人	dgww	ⓣ	2
三亿	dgwn	ⓣ	2
三代	dgwa	➆/ⓦ/ⓣ	12
三件	dgwr	ⓣ	0
三份	dgww	ⓣ	0
三伏	dgwd	★/➆/ⓦ/ⓣ	0
三位	dgwu	ⓣ	2
三侠	dgwg	ⓣ	0
三保	dgwk	ⓦ	0
三倍	dgwu	ⓣ	0
三元	dgfq	➆/ⓦ/ⓣ	0
三八	dgwt	ⓦ/ⓣ	5
三公	dgwc	ⓦ/ⓣ	3
三关	dgud	ⓣ	2
三军	dgpl	★/➆/ⓦ/ⓣ	3
三农	dgpe	★/➆/ⓦ/ⓣ	11
三分	dgwv	ⓣ	28
三副	dggk	★/➆/ⓦ/ⓣ	1
三包	dgqn	★/➆/ⓦ/ⓣ	2
三北	dgux	★/➆/ⓦ/ⓣ	4
三区	dgaq	ⓦ/ⓣ	4
三十	dgfg	ⓦ/ⓣ	174
三千	dgtf	ⓦ/ⓣ	26
三县	dgeg	ⓣ	2
三叉	dgcy	ⓦ/ⓣ	1
三叔	dghi	ⓣ	9
三口	dgkk	ⓣ	2
三句	dgqk	ⓣ	0
三只	dgkw	ⓣ	0
三台	dgck	ⓦ/ⓣ	0
三号	dgkg	ⓣ	0
三同	dgmg	ⓣ	6
三名	dgqk	ⓣ	2
三周	dgmf	ⓣ	2
三和	dgtk	ⓦ/ⓣ	7
三品	dgkk	ⓣ	1
三哥	dgsk	ⓦ/ⓣ	6
三四	dglh	ⓣ	45
三回	dglk	ⓣ	0
三围	dglf	★/➆/ⓦ/ⓣ	0
三国	dglg	★/➆/ⓦ/ⓣ	30
三圈	dglu	ⓣ	2
三地	dgfb	ⓦ/ⓣ	0
三场	dgfn	ⓣ	9
三块	dgfn	ⓣ	0
三城	dgfd	ⓦ/ⓣ	2
三堂	dgip	ⓣ	1
三声	dgfn	ⓣ	1
三处	dgth	ⓣ	0
三夏	dgdh	★/➆/ⓣ	0
三大	dgdd	ⓦ/ⓣ	6
三天	dggd	ⓦ/ⓣ	2
三套	dgdd	ⓣ	0
三好	dgvb	ⓦ/ⓣ	5
三姐	dgve	ⓣ	1
三姨	dgvg	ⓣ	9
三嫂	dgvv	ⓣ	1
三子	dgbb	ⓣ	1
三季	dgtb	ⓣ	0
三宅	dgpt	ⓣ	0
三宝	dgpg	★/➆/ⓦ/ⓣ	12
三家	dgpe	ⓣ	11
三寸	dgfg	ⓣ	2
三局	dgnn	ⓦ/ⓣ	4
三层	dgnf	ⓦ/ⓣ	1
三届	dgnm	ⓣ	3
三山	dgmm	ⓦ/ⓣ	2
三岁	dgmq	ⓣ	0
三岛	dgqy	ⓦ/ⓣ	0
三峡	dgmg	ⓦ/ⓣ	16
三幅	dgmh	ⓣ	1
三年	dgrh	ⓣ	18
三庙	dgym	ⓣ	1
三废	dgyn	★/➆/ⓣ	0
三座	dgyw	ⓣ	1
三弟	dgux	ⓣ	0
三张	dgxt	ⓣ	0
三弦	dgxy	★/➆/ⓦ/ⓣ	4
三怕	dgnr	ⓣ	1
三思	dgln	★/➆/ⓣ	2
三性	dgnt	ⓦ/ⓣ	0
三成	dgdn	ⓣ	0
三户	dgyn	ⓦ/ⓣ	0
三房	dgyn	ⓣ	2
三打	dgrs	ⓣ	0
三批	dgrx	ⓣ	0
三把	dgrc	ⓣ	0
三支	dgfc	ⓣ	0
三教	dgft	ⓦ/ⓣ	2
三方	dgyy	ⓦ/ⓣ	0
三无	dgfq	ⓦ/ⓣ	1
三日	dgjj	ⓣ	8
三时	dgjf	ⓦ/ⓣ	1
三星	dgjt	➆/ⓦ/ⓣ	8
三春	dgdw	➆/ⓣ	0
三昧	dgjf	➆/ⓦ/ⓣ	5
三是	dgjg	ⓣ	5
三晋	dggo	ⓦ/ⓣ	1
三更	dggj	★/ⓦ/ⓣ	1
三月	dgee	ⓦ/ⓣ	27
三朝	dgfj	ⓣ	1
三期	dgad	ⓣ	5
三本	dgsg	ⓦ/ⓣ	2
三权	dgsc	ⓦ/ⓣ	0
三村	dgsf	ⓣ	1
三条	dgts	ⓣ	1
三杰	dgso	ⓣ	2
三板	dgsr	ⓦ/ⓣ	1
三枚	dgst	ⓣ	0
三校	dgsu	ⓣ	2
三样	dgsu	ⓣ	0
三格	dgst	ⓦ/ⓣ	0
三档	dgsi	ⓣ	0
三楼	dgso	ⓣ	6
三次	dguq	ⓣ	4
三款	dgff	ⓣ	0
三步	dghi	ⓦ/ⓣ	3
三段	dgwd	ⓣ	0
三比	dgxx	ⓣ	0
三毛	dgtf	ⓦ/ⓣ	65
三氯	dgrn	ⓣ	5
三江	dgia	ⓦ/ⓣ	4
三河	dgis	ⓦ/ⓣ	5
三洋	dgiu	ⓦ/ⓣ	2
三洞	dgim	ⓣ	1
三流	dgiy	ⓦ/ⓣ	1
三潭	dgis	ⓣ	1
三点	dghk	ⓦ/ⓣ	21
三焦	dgwy	➆/ⓦ/ⓣ	7
三爷	dgwq	ⓣ	3
三牲	dgtr	➆/ⓦ/ⓣ	0
三环	dggg	ⓣ	0
三班	dggy	ⓦ/ⓣ	0
三球	dggf	ⓣ	0
三生	dgtg	ⓣ	3
三甲	dglh	ⓦ/ⓣ	1
三界	dglw	ⓦ/ⓣ	7
三百	dgdj	ⓦ/ⓣ	39
三皇	dgrg	ⓦ/ⓣ	2
三盆	dgwv	ⓣ	0
三盘	dgte	ⓣ	4
三相	dgsh	★/ⓦ/ⓣ	2
三省	dgit	ⓦ/ⓣ	16
三眼	dghv	ⓣ	0
三票	dgsf	ⓣ	0
三秋	dgto	★/➆/ⓣ	2
三种	dgtk	ⓣ	6
三科	dgtu	ⓦ/ⓣ	0
三秒	dgti	ⓣ	0
三秦	dgdw	ⓦ/ⓣ	3
三站	dguh	ⓣ	0
三等	dgtf	ⓦ/ⓣ	2
三篇	dgty	ⓣ	0
三米	dgoy	ⓣ	1
三类	dgod	ⓣ	8
三粒	dgou	ⓣ	0
三系	dgtx	ⓣ	0
三级	dgxe	ⓦ/ⓣ	8
三线	dgxg	★/➆/ⓦ/ⓣ	10
三组	dgxe	ⓣ	1
三经	dgxc	ⓣ	0
三维	dgxw	★/ⓦ/ⓣ	47
三者	dgft	ⓦ/ⓣ	11
三联	dgbu	ⓦ/ⓣ	3
三股	dgem	ⓣ	0
三自	dgth	ⓦ	2
三节	dgab	★/➆/ⓣ	11
